OTU_id,Domain,Phylum,Class,Order,Family,Genus,Species
Arch_OTU_1719,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1726,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus Methanoplasma,NA
Arch_OTU_1729,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_175,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1762,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,uncultured,NA,NA
Arch_OTU_177,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_18,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosotaleales,Nitrosotaleaceae,Candidatus Nitrosotalea,NA
Arch_OTU_180,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosotaleales,Nitrosotaleaceae,NA,NA
Arch_OTU_181,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosotaleales,Nitrosotaleaceae,NA,NA
Arch_OTU_1812,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1813,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_182,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1831,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1846,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1851,Archaea,Diapherotrites,Micrarchaeia,NA,NA,NA,NA
Arch_OTU_1854,Archaea,Diapherotrites,Iainarchaeia,Iainarchaeales,NA,NA,NA
Arch_OTU_1859,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1875,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_188,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,NA,NA,NA
Arch_OTU_1882,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_1894,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_190,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,NA,NA,NA
Arch_OTU_1900,Archaea,Nanoarchaeaeota,Nanohaloarchaeia,Deep Sea Euryarchaeotic Group(DSEG),NA,NA,NA
Arch_OTU_1907,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
